,session_no,Member_name,Days_attended
235,230,pramod tiwari,  3
236,230,kanak lata singh,  3
237,230,manmohan singh,  PM
238,230,ambika soni,  9
239,230,rajeev shukla,  M
240,230,anand sharma,  M
241,230,murli deora,  10
242,230,saif-ud-din soz,  10
243,230,mohsina kidwai, 10
244,230,rishang keishing,  9
245,230,k. chiranjeevi,  M
246,230,janardan dwivedi,  10
247,230,praveen rashtrapal,  8
248,230,chaudhary birender singh,  10
249,230,narendra budania,  3
250,230,prabha thakur,  10
251,230,alka balram kshatriya,  10
252,230,parvez hashmi,  10
253,230,ashk ali tak,  9
254,230,shadi lal batra,  10
255,230,palvai govardhan reddy,  10
256,230,p. kannan, 5
257,230,naznin faruque,  9
258,230,a.k. antony,  M
259,230,k. rahman khan, M
260,230,ghulam nabi azad,  M
261,230,karan singh,  10
262,230,s.m. krishna, 3
263,230,vayalar ravi,  M
264,230,jairam ramesh, M
265,230,g.k. vasan,  M
266,230,ahmed patel,  4
267,230,ashwani kumar,  10
268,230,oscar fernandes, M
269,230,m.s. gill,  9
270,230,t. subbarami reddy,  5
271,230,mani shankar aiyar,9
272,230,jayanthi natarajan,  M
273,230,satyavrat chaturvedi,  10
274,230,bhubaneswar kalita,  10
275,230,nandi yellaiah,  10
276,230,mukut mithi,  9
277,230,satish sharma,  10
278,230,b.k. hariprasad, 7
279,230,renuka chowdhury,  7
280,230,e.m. sudarsana natchiappan,  M
281,230,shantaram naik, 10
282,230,vijay jawaharlal darda,  3
283,230,rama chandra khuntia,  7
284,230,ram prakash,  8
285,230,v. hanumantha rao,  9
286,230,jesudasu seelam,  M
287,230,mohammad shafi,  9
288,230,vijaylaxmi sadho,  10
289,230,rajani ashokrao patil,  10
290,230,ishwar singh,  10
291,230,mohd. ali khan,  10
292,230,bhalchandra mungekar,8
293,230,husain dalwai,  8
294,230,abhishek manu singhvi,  4
295,230,k.v.p. ramachandra rao,  5
296,230,dhiraj prasad sahu, 8
297,230,p. bhattacharya,  6
298,230,t. ratna bai,  9
299,230,wansuk syiem, 10
300,230,santiuse kujur,  10
301,230,ananda bhaskar rapolu,  10
302,230,mahendra singh mahra, 10
303,230,pankaj bora,  10
304,230,avinash pande,  4
305,230,pradeep kumar balmuchu, 10
306,230,sanjiv kumar, 8
307,230,biswajit daimary,  9
308,230,joy abraham,  10
309,230,motilal vora, 10
310,230,mukul roy,  4
311,230,v. maitreyan,  10
312,230,tariq anwar,  M
313,230,sukhendu sekhar ray,  8
314,230,d. raja,  9
315,230,devender goud t.,  10
316,230,kanimozhi,  6
317,230,yogendra p. trivedi,  7
318,230,derek o' brien,  8
319,230,k.p. ramalingam,  8
320,230,prem chand gupta,  9
321,230,shyamal chakraborty,  9
322,230,mahendra prasad,  10
323,230,ram vilas paswan,  6
324,230,c.m. ramesh,  9
325,230,d.p. tripathi,  10
326,230,k.c. tyagi,  8
327,230,tarini kanta roy,  8
328,230,kanwar deep singh,  10
329,230,h.k. dua,9
330,230,anu aga,8
331,230,rekha,1
332,230,ashok s. ganguly,10
333,230,javed akhtar,1
334,230,sachin ramesh tendulkar,1
335,230,vijay mallya, 1
336,230,ram kripal yadav,  10
337,230,janardhan waghmare,  10
338,230,vasanthi stanley,  8
339,230,t.m. selvaganapathi,  4
340,230,b. jayashree,4
341,230,k. parasaran,5
342,230,mrinal miri,8
343,230,d. bandyopadhyay,  9
344,230,srinjoy bose,  4
345,230,khekiho zhimomi,  1
346,230,vandana chavan,  9
347,230,ishwarlal shankarlal jain,  7
348,230,y. s. chowdary,  10
349,230,hishey lachungpa,  3
350,230,s. thangavelu,  10
351,230,a.a. jinnah,  10
352,230,g. n. ratanpuri,  10
353,230,mohammed adeeb,  10
354,230,md. nadimul haque,  8
355,230,vivek gupta,  7
356,230,sitaram yechury,  8
357,230,ram gopal yadav,  9
358,230,shivanand tiwari,  10
359,230,km. mayawati,  10
360,230,prasanta chatterjee,  10
361,230,naresh agrawal,  10
362,230,shashi bhusan behera,  8
363,230,satish chandra misra,  8
364,230,n. k. singh,  10
365,230,tapan kumar sen,  8
366,230,kiranmay nanda,  10
367,230,ali anwar ansari,  8
368,230,akhilesh das gupta,  9
369,230,veer singh,  10
370,230,brajesh pathak,  10
371,230,t.k. rangarajan,  6
372,230,p. rajeeve,  10
373,230,jaya bachchan,  8
374,230,mangala kisan,  4
375,230,munquad ali,  8
376,230,rajaram,  9
377,230,sanjay raut,  9
378,230,barun mukherji,  10
379,230,bashistha narain singh,  9
380,230,k.n. balagopal,  10
381,230,jharna das baidya,  9
382,230,renubala pradhan,  2
383,230,rajeev chandrasekhar, 9
384,230,s.p.singh baghel,  10
385,230,brijlal khabri,  10
386,230,pyarimohan mohapatra,  3
387,230,darshan singh yadav,  10
388,230,ram chandra prasad singh,  6
389,230,parimal nathwani,  4
390,230,amar singh,  9
391,230,ram jethmalani,  8
392,230,gundu sudharani,  8
393,230,jugul kishore,  8
394,230,avtar singh karimpuri,  10
395,230,ambeth rajan,  10
396,230,ahmad saeed malihabadi,  9
397,230,sabir ali,  6
398,230,c.p. narayanan,  10
399,230,t.n. seema,  10
400,230,m.p. achuthan,  10
401,230,alok tiwari,  10
402,230,arvind kumar singh,  10
403,230,chaudhary munvvar saleem,  9
404,230,salim ansari,  10
405,230,rajpal singh saini,  10
406,230,narendra kumar kashyap,  9
407,230,najma a. heptulla,  9
408,230,m. venkaiah naidu,  6
409,230,shanta kumar,  10
410,230,ravi shankar prasad,  9
411,230,m. rama jois, 9
412,230,thaawarchand gehlot,  10
413,230,c.p. thakur,  10
414,230,vinay katiyar,  8
415,230,mukhtar abbas naqvi, 8
416,230,paul manoj pandian,  1
417,230,dharmendra pradhan,  8
418,230,balbir punj,  9
419,230,v.p. singh badnore,  9
420,230,jagat prakash nadda,  8
421,230,birendra prasad baishya,  10
422,230,sardar sukhdev singh dhindsa,  6
423,230,n. balaganga,  9
424,230,avinash rai khanna,  10
425,230,kaptan singh solanki,  8
426,230,parshottam rupala,  9
427,230,prabhat jha,  6
428,230,rajkumar dhoot,  8
429,230,sardar balwinder singh bhunder,  5
430,230,naresh gujral,  9
431,230,shivpratap singh, 2
432,230,piyush goyal,  8
433,230,raghunandan sharma,  8
434,230,kusum rai,  9
435,230,anil madhav dave,  2
436,230,baishnab parida,  10
437,230,anil kumar sahani,  7
438,230,t. rathinavel,  8
439,230,a. w. rabi bernard,  9
440,230,bharatkumar raut,  10
441,230,lalhming liana,  3
442,230,rangasayee ramakrishna, 10
443,230,dilipbhai pandya,  6
444,230,bhushan lal jangde, 7
445,230,bimla kashyap sood,  10
446,230,a.v. swamy,  10
447,230,dilip kumar tirkey,  8
448,230,rabinarayan mohapatra,  10
449,230,r. lakshmanan,  10
450,230,k. r. arjunan,  9
451,230,ranbir singh parjapati,  8
452,230,anil desai,  10
453,230,ajay sancheti,  5
454,230,arun jaitley,  LOP
455,230,p.j. kurien,  HDC
456,230,maya singh,  6
457,230,bhagat singh koshyari, 5
458,230,rajiv pratap rudy,  9
459,230,faggan singh kulaste,  10
460,230,chandan mitra,  9
461,230,nand kumar sai, 1
462,230,prakash javadekar,  10
463,230,om prakash mathur,  6
464,230,prabhakar kore, 3
465,230,smriti zubin irani,  5
466,230,natuji halaji thakor,  5
467,230,bharatsinh prabhatsinh parmar,  6
468,230,aayanur manjunatha, 8
469,230,tarun vijay, 8
470,230,jai prakash narayan singh, 10
471,230,basawaraj patil, 10
472,230,bhupender yadav,  6
473,230,gyan prakash pilania,  9
474,230,shankarbhai n. vegad,  8
475,230,mansukh mandaviya,  7
476,230,,
477,220,manmohan singh,  PM
478,220,ambika soni,  M
479,220,prithviraj chavan,  M
480,220,anand sharma,  26
481,220,murli deora,  M
482,220,saif-ud-din soz,  26
483,220,mohsina kidwai, 23
484,220,rishang keishing,  25
485,220,janardan dwivedi,  26
486,220,sushila tiriya,  24
487,220,rajeev shukla,  25
488,220,narendra budania,  26
489,220,prabha thakur,  25
490,220,viplove thakur,  26
491,220,alka balram kshatriya,  25
492,220,silvius condpan,  26
493,220,praveen rashtrapal,  24
494,220,parvez hashmi,  26
495,220,shadi lal batra,  26
496,220,p. kannan, 6
497,220,naznin faruque,  20
498,220,a.k. antony,  M
499,220,s.m. krishna, M
500,220,ghulam nabi azad,  M
501,220,karan singh,  25
502,220,arjun singh,  8
503,220,vayalar ravi,  M
504,220,m.s. gill,  M
505,220,g.k. vasan,  M
506,220,ahmed patel,  19
507,220,p.j. kurien,  20
508,220,oscar fernandes, 23
509,220,jairam ramesh, M
510,220,mani shankar aiyar,23
511,220,jayanthi natarajan,  7
512,220,nandi yellaiah,  20
513,220,bhubaneswar kalita,  23
514,220,mabel rebello, 24
515,220,ashwani kumar,  24
516,220,satish sharma,  26
517,220,t. subbarami reddy,  21
518,220,satyavrat chaturvedi,  25
519,220,e.m. sudarsana natchiappan,  26
520,220,mukut mithi,  25
521,220,vijay jawaharlal darda,  14
522,220,rama chandra khuntia,  22
523,220,raashid alvi,  26
524,220,v. hanumantha rao,  20
525,220,dasari narayana rao,  2
526,220,g. sanjeeva reddy,  19
527,220,b. s. gnanadesikan,  9
528,220,ram prakash,  25
529,220,k. keshava rao,  22
530,220,chaudhary birender singh,  22
531,220,shantaram naik, 26
532,220,abhishek manu singhvi,  4
533,220,jesudasu seelam,  25
534,220,ram dayal munda,23
535,220,mohammad shafi,  19
536,220,t. ratna bai,  26
537,220,vijaylaxmi sadho,  26
538,220,anil h. lad, 18
539,220,ishwar singh,  26
540,220,mohd. ali khan,  26
541,220,dhiraj prasad sahu, 24
542,220,avinash pande,  23
543,220,ashk ali tak,  25
544,220,k.v.p. ramachandra rao,  25
545,220,biswajit daimary,  15
546,220,swapan sadhan bose,  3
547,220,n. janardhana reddy,  23
548,220,motilal vora, 25
549,220,tariq anwar,  15
550,220,mukul roy,  M
551,220,prem chand gupta,  25
552,220,d. raja,  26
553,220,mohan singh,  26
554,220,brinda karat,  23
555,220,jabir husain,  26
556,220,kanimozhi,  17
557,220,moinul hassan,  20
558,220,shyamal chakraborty,  12
559,220,mahendra prasad,  17
560,220,rajniti prasad,  23
561,220,ram vilas paswan,  24
562,220,yogendra p. trivedi,  15
563,220,k.p. ramalingam,  23
564,220,mangala kisan,  14
565,220,tarini kanta roy,  21
566,220,tapan kumar sen,  22
567,220,h.k. dua,25
568,220,shobhana bhartia,25
569,220,shyam benegal,19
570,220,ashok s. ganguly,18
571,220,javed akhtar,9
572,220,m.s. swaminathan,20
573,220,() kapila vatsyayan,20
574,220,vijay mallya, 20
575,220,sardar tarlochan singh,  3
576,220,ram kripal yadav,  18
577,220,janardhan waghmare,  25
578,220,vasanthi stanley,  17
579,220,t.m. selvaganapathi,  21
580,220,b. jayashree,20
581,220,bhalchandra mungekar,22
582,220,barun mukherji,  26
583,220,khekiho zhimomi,  18
584,220,renubala pradhan,  18
585,220,o.t. lepcha,  17
586,220,thomas sangma, 24
587,220,ishwarlal shankarlal jain,  20
588,220,ranjitsinh vijaysinh mohite-patil,  15
589,220,s. thangavelu,  23
590,220,a.a. jinnah,  26
591,220,g. n. ratanpuri,  24
592,220,mohammed adeeb,  25
593,220,mahmood a. madani,  8
594,220,r.c. singh,  24
595,220,sitaram yechury,  24
596,220,pyarimohan mohapatra,  22
597,220,shivanand tiwari,  14
598,220,satish chandra misra,  24
599,220,prasanta chatterjee,  24
600,220,ram gopal yadav,  15
601,220,n. k. singh,  21
602,220,brajesh pathak,  25
603,220,v. maitreyan,  23
604,220,mohammed amin,  20
605,220,kishore kumar mohanty,  24
606,220,ali anwar ansari,  16
607,220,akhilesh das gupta,  16
608,220,rajaram,  23
609,220,veer singh,  24
610,220,t.k. rangarajan,  15
