,session_no,Member_name,Days_attended,question_count
0,230,pramod tiwari,  3,
1,230,kanak lata singh,  3,
2,230,manmohan singh,  PM,
3,230,ambika soni,  9,8.0
4,230,rajeev shukla,  M,
5,230,anand sharma,  M,
6,230,murli deora,  10,
7,230,saif-ud-din soz,  10,3.0
8,230,mohsina kidwai, 10,
9,230,rishang keishing,  9,
10,230,k. chiranjeevi,  M,
11,230,janardan dwivedi,  10,
12,230,praveen rashtrapal,  8,1.0
13,230,chaudhary birender singh,  10,
14,230,narendra budania,  3,
15,230,prabha thakur,  10,14.0
16,230,alka balram kshatriya,  10,
17,230,parvez hashmi,  10,4.0
18,230,ashk ali tak,  9,9.0
19,230,shadi lal batra,  10,11.0
20,230,palvai govardhan reddy,  10,19.0
21,230,p. kannan, 5,
22,230,naznin faruque,  9,10.0
23,230,a.k. antony,  M,
24,230,k. rahman khan, M,
25,230,ghulam nabi azad,  M,
26,230,karan singh,  10,
27,230,s.m. krishna, 3,
28,230,vayalar ravi,  M,
29,230,jairam ramesh, M,
30,230,g.k. vasan,  M,
31,230,ahmed patel,  4,
32,230,ashwani kumar,  10,
33,230,oscar fernandes, M,
34,230,m.s. gill,  9,
35,230,t. subbarami reddy,  5,20.0
36,230,mani shankar aiyar,9,15.0
37,230,jayanthi natarajan,  M,
38,230,satyavrat chaturvedi,  10,
39,230,bhubaneswar kalita,  10,3.0
40,230,nandi yellaiah,  10,13.0
41,230,mukut mithi,  9,
42,230,satish sharma,  10,
43,230,b.k. hariprasad, 7,
44,230,renuka chowdhury,  7,1.0
45,230,e.m. sudarsana natchiappan,  M,
46,230,shantaram naik, 10,8.0
47,230,vijay jawaharlal darda,  3,18.0
48,230,rama chandra khuntia,  7,23.0
49,230,ram prakash,  8,7.0
50,230,v. hanumantha rao,  9,
51,230,jesudasu seelam,  M,
52,230,mohammad shafi,  9,
53,230,vijaylaxmi sadho,  10,
54,230,rajani ashokrao patil,  10,
55,230,ishwar singh,  10,
56,230,mohd. ali khan,  10,19.0
57,230,bhalchandra mungekar,8,2.0
58,230,husain dalwai,  8,19.0
59,230,abhishek manu singhvi,  4,
60,230,k.v.p. ramachandra rao,  5,9.0
61,230,dhiraj prasad sahu, 8,
62,230,p. bhattacharya,  6,
63,230,t. ratna bai,  9,23.0
64,230,wansuk syiem, 10,19.0
65,230,santiuse kujur,  10,3.0
66,230,ananda bhaskar rapolu,  10,
67,230,mahendra singh mahra, 10,18.0
68,230,pankaj bora,  10,8.0
69,230,avinash pande,  4,4.0
70,230,pradeep kumar balmuchu, 10,22.0
71,230,sanjiv kumar, 8,3.0
72,230,biswajit daimary,  9,
73,230,joy abraham,  10,
74,230,motilal vora, 10,15.0
75,230,mukul roy,  4,
76,230,v. maitreyan,  10,17.0
77,230,tariq anwar,  M,
78,230,sukhendu sekhar ray,  8,
79,230,d. raja,  9,8.0
80,230,devender goud t.,  10,22.0
81,230,kanimozhi,  6,13.0
82,230,yogendra p. trivedi,  7,15.0
83,230,derek o' brien,  8,
84,230,k.p. ramalingam,  8,20.0
85,230,prem chand gupta,  9,
86,230,shyamal chakraborty,  9,9.0
87,230,mahendra prasad,  10,
88,230,ram vilas paswan,  6,11.0
89,230,c.m. ramesh,  9,16.0
90,230,d.p. tripathi,  10,17.0
91,230,k.c. tyagi,  8,16.0
92,230,tarini kanta roy,  8,
93,230,kanwar deep singh,  10,17.0
94,230,h.k. dua,9,5.0
95,230,anu aga,8,
96,230,rekha,1,
97,230,ashok s. ganguly,10,
98,230,javed akhtar,1,
99,230,sachin ramesh tendulkar,1,
100,230,vijay mallya, 1,7.0
101,230,ram kripal yadav,  10,17.0
102,230,janardhan waghmare,  10,21.0
103,230,vasanthi stanley,  8,20.0
104,230,t.m. selvaganapathi,  4,23.0
105,230,b. jayashree,4,
106,230,k. parasaran,5,
107,230,mrinal miri,8,
108,230,d. bandyopadhyay,  9,
109,230,srinjoy bose,  4,
110,230,khekiho zhimomi,  1,
111,230,vandana chavan,  9,
112,230,ishwarlal shankarlal jain,  7,22.0
113,230,y. s. chowdary,  10,14.0
114,230,hishey lachungpa,  3,
115,230,s. thangavelu,  10,22.0
116,230,a.a. jinnah,  10,18.0
117,230,g. n. ratanpuri,  10,18.0
118,230,mohammed adeeb,  10,15.0
119,230,md. nadimul haque,  8,
