,attendance_rate,participation_rate
0,0.3,0.0
1,0.3,0.0
2,,0.0
3,0.9,0.8
4,,0.0
5,,0.0
6,1.0,0.0
7,1.0,0.3
8,1.0,0.0
9,0.9,0.0
10,,0.0
11,1.0,0.0
12,0.8,0.1
13,1.0,0.0
14,0.3,0.0
15,1.0,1.4
16,1.0,0.0
17,1.0,0.4
18,0.9,0.9
19,1.0,1.1
20,1.0,1.9
21,0.5,0.0
22,0.9,1.0
23,,0.0
24,,0.0
25,,0.0
26,1.0,0.0
27,0.3,0.0
28,,0.0
29,,0.0
30,,0.0
31,0.4,0.0
32,1.0,0.0
33,,0.0
34,0.9,0.0
35,0.5,2.0
36,0.9,1.5
37,,0.0
38,1.0,0.0
39,1.0,0.3
40,1.0,1.3
41,0.9,0.0
42,1.0,0.0
43,0.7,0.0
44,0.7,0.1
45,,0.0
46,1.0,0.8
47,0.3,1.8
48,0.7,2.3
49,0.8,0.7
50,0.9,0.0
51,,0.0
52,0.9,0.0
53,1.0,0.0
54,1.0,0.0
55,1.0,0.0
56,1.0,1.9
57,0.8,0.2
58,0.8,1.9
59,0.4,0.0
60,0.5,0.9
61,0.8,0.0
62,0.6,0.0
63,0.9,2.3
64,1.0,1.9
65,1.0,0.3
66,1.0,0.0
67,1.0,1.8
68,1.0,0.8
69,0.4,0.4
70,1.0,2.2
71,0.8,0.3
72,0.9,0.0
73,1.0,0.0
74,1.0,1.5
75,0.4,0.0
76,1.0,1.7
77,,0.0
78,0.8,0.0
79,0.9,0.8
80,1.0,2.2
81,0.6,1.3
82,0.7,1.5
83,0.8,0.0
84,0.8,2.0
85,0.9,0.0
86,0.9,0.9
87,1.0,0.0
88,0.6,1.1
89,0.9,1.6
90,1.0,1.7
91,0.8,1.6
92,0.8,0.0
93,1.0,1.7
94,0.9,0.5
95,0.8,0.0
96,0.1,0.0
97,1.0,0.0
98,0.1,0.0
99,0.1,0.0
100,0.1,0.7
101,1.0,1.7
102,1.0,2.1
103,0.8,2.0
104,0.4,2.3
105,0.4,0.0
106,0.5,0.0
107,0.8,0.0
108,0.9,0.0
109,0.4,0.0
110,0.1,0.0
111,0.9,0.0
112,0.7,2.2
113,1.0,1.4
114,0.3,0.0
115,1.0,2.2
116,1.0,1.8
117,1.0,1.8
118,1.0,1.5
119,0.8,0.0
120,0.7,1.6
121,0.8,0.0
122,0.9,0.0
123,1.0,0.9
124,1.0,0.0
125,1.0,0.5
126,1.0,1.1
127,0.8,0.5
128,0.8,0.0
129,1.0,0.0
130,0.8,0.5
131,1.0,0.7
132,0.8,0.2
133,0.9,0.0
134,1.0,0.5
135,1.0,0.0
136,0.6,0.7
137,1.0,1.6
138,0.8,1.4
139,0.4,0.0
140,0.8,0.0
141,0.9,0.0
142,0.9,2.0
143,1.0,0.0
144,0.9,0.4
145,1.0,1.9
146,0.9,0.7
147,0.2,0.4
148,0.9,1.6
149,1.0,0.0
150,1.0,0.0
151,0.3,0.0
152,1.0,0.0
153,0.6,0.0
154,0.4,1.4
155,0.9,0.0
156,0.8,1.5
157,0.8,1.1
158,0.8,0.6
159,1.0,0.0
160,1.0,1.7
161,0.9,0.6
162,0.6,1.5
163,1.0,1.1
164,1.0,2.2
165,1.0,1.5
166,1.0,1.0
167,1.0,1.5
168,0.9,0.2
169,1.0,1.2
170,1.0,0.0
171,0.9,0.1
172,0.9,1.4
173,0.6,0.3
174,1.0,0.6
175,0.9,2.1
176,0.9,0.0
177,1.0,0.0
178,1.0,0.4
179,0.8,0.0
180,0.8,0.0
181,0.1,0.0
182,0.8,0.0
183,0.9,0.0
184,0.9,0.0
185,0.8,0.3
186,1.0,1.3
187,0.6,0.1
188,0.9,2.2
189,1.0,1.4
190,0.8,0.0
191,0.9,1.5
192,0.6,1.8
193,0.8,2.5
194,0.5,1.8
195,0.9,0.5
196,0.2,0.0
197,0.8,1.8
198,0.8,0.2
199,0.9,1.8
200,0.2,0.0
201,1.0,1.8
202,0.7,1.4
203,0.8,0.0
204,0.9,1.6
205,1.0,0.4
206,0.3,0.0
207,1.0,0.3
208,0.6,1.1
209,0.7,0.4
210,1.0,1.4
211,1.0,0.0
212,0.8,1.2
213,1.0,0.0
214,1.0,2.2
215,0.9,0.0
216,0.8,0.9
217,1.0,0.5
218,0.5,1.4
219,,0.0
220,,0.0
221,0.6,0.0
222,0.5,1.6
223,0.9,1.2
224,1.0,0.1
225,0.9,1.6
226,0.1,1.6
227,1.0,1.7
228,0.6,0.0
229,0.3,1.2
230,0.5,2.0
231,0.5,1.3
232,0.6,0.8
233,0.8,2.1
