,session_no,question_by,question_type,question_count
0,218,DR. GYAN PRAKASH PILANIA,UNSTARRED,3
1,218,DR. JANARDHAN WAGHMARE,STARRED,1
2,218,DR. JANARDHAN WAGHMARE,UNSTARRED,8
3,218,DR. K. MALAISAMY,UNSTARRED,1
4,218,DR. PRABHA THAKUR,UNSTARRED,2
5,218,DR. YOGENDRA P. TRIVEDI,UNSTARRED,3
6,218,Dr. Abhishek Manu Singhvi,UNSTARRED,1
7,218,Dr. E.M. Sudarsana Natchiappan,UNSTARRED,5
8,218,Dr. Najma A. Heptulla,UNSTARRED,1
9,218,Dr. T. Subbarami Reddy,UNSTARRED,5
10,218,MISS ANUSUIYA UIKEY,UNSTARRED,2
11,218,MISS MABEL REBELLO,UNSTARRED,2
12,218,MS. SUSHILA TIRIYA,UNSTARRED,1
13,218,PROF. ALKA BALRAM KSHATRIYA,UNSTARRED,7
14,218,Prof. P.J. Kurien,UNSTARRED,1
15,218,SHRI A. ELAVARASAN,UNSTARRED,1
16,218,SHRI A. VIJAYARAGHAVAN,STARRED,1
17,218,SHRI AMIR ALAM KHAN,UNSTARRED,4
18,218,SHRI B.S. GNANADESIKAN,UNSTARRED,1
19,218,SHRI BALBIR PUNJ,UNSTARRED,4
20,218,SHRI BHAGAT SINGH KOSHYARI,UNSTARRED,3
21,218,SHRI BHARATKUMAR RAUT,UNSTARRED,1
22,218,SHRI BHARATSINH PRABHATSINH PARMAR,UNSTARRED,1
23,218,SHRI BRIJ BHUSHAN TIWARI,UNSTARRED,1
24,218,SHRI DHARAM PAL SABHARWAL,UNSTARRED,1
25,218,SHRI GIREESH KUMAR SANGHI,UNSTARRED,3
26,218,SHRI GOVINDRAO ADIK,UNSTARRED,1
27,218,SHRI ISHWAR SINGH,STARRED,1
28,218,SHRI JABIR HUSAIN,UNSTARRED,1
29,218,SHRI JAI PRAKASH NARAYAN SINGH,UNSTARRED,3
30,218,SHRI K.E. ISMAIL,UNSTARRED,1
31,218,SHRI KALRAJ MISHRA,UNSTARRED,4
32,218,SHRI KAMAL AKHTAR,UNSTARRED,1
33,218,SHRI KANJIBHAI PATEL,UNSTARRED,2
34,218,SHRI KUMAR DEEPAK DAS,UNSTARRED,1
35,218,SHRI LALIT KISHORE CHATURVEDI,UNSTARRED,5
36,218,SHRI M.V. MYSURA REDDEY,UNSTARRED,2
37,218,SHRI MAHENDRA MOHAN,UNSTARRED,3
38,218,SHRI MANGALA KISAN,UNSTARRED,3
39,218,SHRI MANOHAR JOSHI,UNSTARRED,2
40,218,SHRI MOHAMMED AMIN,UNSTARRED,1
41,218,SHRI MOINUL HASSAN,UNSTARRED,4
42,218,SHRI N. BALAGANGA,UNSTARRED,1
43,218,SHRI N.K. SINGH,UNSTARRED,1
44,218,SHRI N.R. GOVINDARAJAR,UNSTARRED,4
45,218,SHRI NAND KISHORE YADAV,UNSTARRED,3
46,218,SHRI NANDAMURI HARIKRISHNA,UNSTARRED,1
47,218,SHRI NANDI YELLAIAH,UNSTARRED,1
48,218,SHRI O.T. LEPCHA,UNSTARRED,4
49,218,SHRI R.C. SINGH,UNSTARRED,10
50,218,SHRI RAGHUNANDAN SHARMA,UNSTARRED,3
51,218,SHRI RAJ MOHINDER SINGH MAJITHA,UNSTARRED,1
52,218,SHRI RAJNITI PRASAD,UNSTARRED,4
53,218,SHRI RAMA CHANDRA KHUNTIA,UNSTARRED,4
54,218,SHRI RAMDAS AGARWAL,UNSTARRED,3
55,218,SHRI RANJITSINH VIJAYSINH MOHITE PATIL,UNSTARRED,1
56,218,SHRI RUDRA NARAYAN PANY,UNSTARRED,2
