,DIV_NO,Member_name,no_of_days_attended,session_no,attendance_rate
4,5,"Patel, Shri  Keshubhai S.",11,200,0.52
5,6,"Krishnamurthy K., Shri Jana",06,200,0.29
7,8,"Singhvi, Dr. L.M.",20,200,0.95
8,9,"Mishra, Shri  Dina Nath",20,200,0.95
9,10,"Judev, Shri  Dilip Singh",09,200,0.43
10,11,"Goyal, Shri  Vedprakash P.",20,200,0.95
11,12,"Singhal, Shri  B.P.",19,200,0.9
12,13,"Mehta,  Shri Lalitbhai",17,200,0.81
13,14,"Murthy,  Shri M. Rajasekara",16,200,0.76
14,15,"Kripal, Shri  Parmar",20,200,0.95
15,16,"Singh,  Smt. Maya",15,200,0.71
16,17,"Samal, Shri  Man Mohan",17,200,0.81
17,18,"Bora,  Shri Indramoni",18,200,0.86
18,19,"Kaur, Smt. Gurcharan",19,200,0.9
20,21,"Bhardwaj, Shri  Suresh",20,200,0.95
21,22,"Lath,  Shri Surendra",19,200,0.9
22,23,"Maroo, Shri  Ajay",07,200,0.33
24,25,"Mahajan, Shri  Pramod",08,200,0.38
26,27,"Naidu,  Shri M. Venkaiah",16,200,0.76
32,33,"Patel,  Dr. A.K.",16,200,0.76
33,34,"Ahluwalia, Shri  S.S.",19,200,0.9
34,35,"Jethmalani, Shri  Ram",10,200,0.48
35,36,"Panda,  Shri B.J.",17,200,0.81
36,37,"Sankaralingam, Prof. M.",18,200,0.86
37,38,"Tohra, Sardar  Gurcharan Singh",09,200,0.43
38,39,"Varma, Prof. R.B.S.",19,200,0.9
39,40,"Agarwalla, Shri  Parmeshwar Kumar",17,200,0.81
40,41,"Mishra, Shri  Kalraj",15,200,0.71
41,42,"Kovind, Shri  Ram Nath",19,200,0.9
42,43,"Joshi,  Shri Kailash",14,200,0.67
43,44,"Shunmugsasundram, Shri  R.",06,200,0.29
44,45,"Abdullah,  Dr. Farooq",09,200,0.43
45,46,"Sharda, Smt. Savita",20,200,0.95
46,47,"Naqvi, Shri  Mukhtar Abbas",13,200,0.62
47,48,"Punj, Shri  Balbir K.",20,200,0.95
48,49,"Apte, Shri  B.P.",18,200,0.86
49,50,"Sarma, Shri  Arun Kumar",13,200,0.62
50,51,"Ray,  Shri Dilip",05,200,0.24
51,52,"Agniraj, Shri  S.",12,200,0.57
52,53,"Trivedi, Shri  Dinesh",15,200,0.71
53,54,"Rai, Shri Lajpat",19,200,0.9
54,55,"Prasad,  Shri Abhay Kant",11,200,0.52
55,56,"Apte, Shri  Devdas",16,200,0.76
